date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:57	20/20	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Jul%202025%2014:19:16%20GMT	https://agencyfy.webflow.io/robots.txt		(from )
00:57:58	76635/76635	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2021:57:57%20GMT	https://agencyfy.webflow.io/	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/index.html	(from )
00:57:59	148354/148354	---MCZ	200	added ('OK')	text/css	etag:W/%22aad44c61251940057ec465bcce17bfa3%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/css/agencyfy.webflow.shared.aad44c612.css	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/css/agencyfy.webflow.shared.aad44c612.css	(from https://agencyfy.webflow.io/)
00:58:00	118571/118571	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2020:27:44%20GMT	https://agencyfy.webflow.io/about	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/about.html	(from https://agencyfy.webflow.io/)
00:58:00	54130/54130	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jul%202025%2023:02:10%20GMT	https://agencyfy.webflow.io/projects	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/projects.html	(from https://agencyfy.webflow.io/)
00:58:00	60107/60107	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jul%202025%2014:09:31%20GMT	https://agencyfy.webflow.io/contact	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/contact.html	(from https://agencyfy.webflow.io/)
00:58:01	57516/57516	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2012:29:05%20GMT	https://agencyfy.webflow.io/pricing	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/pricing.html	(from https://agencyfy.webflow.io/)
00:58:01	231350/231350	---M--	200	added ('OK')	image/webp	etag:%226fdef7cda5e5a9ff6c4801a8ca8e54d5%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0137dd8dc2f34e9ecaf9_img-03.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0137dd8dc2f34e9ecaf9_img-03.webp	(from https://agencyfy.webflow.io/)
00:58:02	49416/49416	---M--	200	added ('OK')	image/webp	etag:%22c4b0d482b954f68b9131a9a34d7dde0a%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0ca66969f9e627b9541c_img-08.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0ca66969f9e627b9541c_img-08.webp	(from https://agencyfy.webflow.io/)
00:58:02	92700/92700	---M--	200	added ('OK')	image/webp	etag:%22690f4d788a1e04018e78f18b78bfe8ca%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01370e93d989cb1d6bbb_img-02.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01370e93d989cb1d6bbb_img-02.webp	(from https://agencyfy.webflow.io/)
00:58:03	59776/59776	---M--	200	added ('OK')	image/webp	etag:%22e2835d412a1c0629edd23300c8114e0f%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01375053d9bf91d43a85_img-04.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01375053d9bf91d43a85_img-04.webp	(from https://agencyfy.webflow.io/)
00:58:03	70238/70238	---M--	200	added ('OK')	image/webp	etag:%22224eb2f2b990cc7d0de813dfae3789a1%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673cd3b8e0ca9be2ae04ba86_img-09.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673cd3b8e0ca9be2ae04ba86_img-09.webp	(from https://agencyfy.webflow.io/)
00:58:03	55366/55366	---M--	200	added ('OK')	image/webp	etag:%2295de2412bd05093feed65babf4bb621e%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0ca27fabe0deaae60fe5_img-06.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0ca27fabe0deaae60fe5_img-06.webp	(from https://agencyfy.webflow.io/)
00:58:04	67012/67012	---M--	200	added ('OK')	image/webp	etag:%223d4156ded99115231031509903a95f3a%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0d5cdd8dc2f34ea91627_img-07.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c0d5cdd8dc2f34ea91627_img-07.webp	(from https://agencyfy.webflow.io/)
00:58:04	68370/68370	---M--	200	added ('OK')	image/webp	etag:%22e28e08dc3940edc8b774d5e061fdfbb2%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01376969f9e627af8842_img-05.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/673c01376969f9e627af8842_img-05.webp	(from https://agencyfy.webflow.io/)
00:58:04	66896/66896	---M--	200	added ('OK')	image/webp	etag:%22806b3c76c3e8d09a0bf6c9e20e4ba6cc%22	https://cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/6741e0cb9a5c2c6554d2fd6b_img-11.webp	C:/My%20Web%20Sites/2025_portfolio/cdn.prod.website-files.com/67380e56dab71fc4dbd7b6c9/6741e0cb9a5c2c6554d2fd6b_img-11.webp	(from https://agencyfy.webflow.io/)
00:58:05	52125/52125	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2012:43:28%20GMT	https://agencyfy.webflow.io/project/astera	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/project/astera.html	(from https://agencyfy.webflow.io/)
00:58:06	52037/52037	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2021:58:05%20GMT	https://agencyfy.webflow.io/project/horizon	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/project/horizon.html	(from https://agencyfy.webflow.io/)
00:58:06	51934/51934	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2010:58:21%20GMT	https://agencyfy.webflow.io/project/elevate	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/project/elevate.html	(from https://agencyfy.webflow.io/)
00:58:08	51934/51934	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Jul%202025%2015:52:43%20GMT	https://agencyfy.webflow.io/project/nexon	C:/My%20Web%20Sites/2025_portfolio/agencyfy.webflow.io/project/nexon.html	(from https://agencyfy.webflow.io/)
